ts,open,high,low,close,volume
1774224000,67859.00000000,68585.12000000,67445.18000000,68074.60000000,2495.61558000
1774238400,68074.60000000,68915.40000000,67502.48000000,68333.16000000,4814.40128000
1774252800,68333.16000000,71499.00000000,67916.14000000,70122.15000000,9165.95784000
1774267200,70122.15000000,71817.09000000,69671.95000000,70131.48000000,7343.07463000
1774281600,70131.48000000,71246.01000000,70131.47000000,70679.05000000,3251.32187000
1774296000,70679.04000000,70998.00000000,70404.39000000,70906.45000000,1264.71999000
1774310400,70906.45000000,71099.96000000,70278.46000000,70542.90000000,2279.09671000
1774324800,70542.90000000,71400.00000000,70119.06000000,71291.70000000,3689.34450000
1774339200,71291.70000000,71368.61000000,70850.11000000,71157.77000000,2477.92852000
1774353600,71157.77000000,71177.66000000,69507.34000000,69873.04000000,5583.13531000
1774368000,69873.04000000,70001.92000000,68923.07000000,69377.33000000,3539.49609000
1774382400,69377.33000000,70832.54000000,69296.15000000,70556.74000000,3133.42131000
1774396800,70556.74000000,71100.28000000,70408.00000000,70716.70000000,2504.53992000
1774411200,70716.70000000,71345.00000000,70703.83000000,70926.88000000,2879.13545000
1774425600,70926.88000000,72026.09000000,70800.00000000,71678.97000000,3287.51237000
1774440000,71678.97000000,71963.71000000,70530.47000000,70832.99000000,4210.48461000
1774454400,70832.99000000,71752.88000000,70681.07000000,70883.31000000,2995.16787000
1774468800,70883.32000000,71594.11000000,70646.34000000,71336.53000000,1842.66044000
1774483200,71336.53000000,71436.82000000,70672.37000000,70921.47000000,2157.03878000
1774497600,70921.47000000,70921.47000000,69805.00000000,70087.44000000,3434.08444000
1774512000,70087.44000000,70144.44000000,69192.96000000,69276.01000000,3321.72857000
1774526400,69276.01000000,69877.45000000,68632.40000000,69082.64000000,4699.85538000
1774540800,69082.64000000,69162.00000000,68153.00000000,68534.36000000,4026.59411000
1774555200,68534.37000000,69478.42000000,68436.74000000,68820.31000000,3181.15640000
1774569600,68820.31000000,69179.05000000,68531.37000000,68767.51000000,2714.96120000
1774584000,68767.50000000,68955.53000000,68304.14000000,68540.48000000,3934.07819000
1774598400,68540.49000000,68635.07000000,66231.96000000,66702.78000000,7325.96218000
1774612800,66702.78000000,66773.25000000,65730.17000000,66112.82000000,8273.04177000
1774627200,66112.82000000,66290.00000000,65548.25000000,66040.66000000,3963.05735000
1774641600,66040.65000000,66420.75000000,65817.44000000,66407.28000000,2392.59488000
1774656000,66407.28000000,66520.46000000,65932.09000000,66240.00000000,2309.42704000
1774670400,66240.00000000,66573.61000000,66110.00000000,66561.48000000,2351.82142000
1774684800,66561.49000000,66570.09000000,66124.40000000,66319.47000000,1871.98665000
1774699200,66319.46000000,67288.94000000,66240.87000000,67014.91000000,2726.87142000
1774713600,67014.92000000,67096.77000000,66704.00000000,66916.52000000,1090.61096000
1774728000,66916.52000000,67010.00000000,66283.38000000,66377.03000000,1111.68098000
1774742400,66377.04000000,67130.50000000,66281.40000000,66912.00000000,1535.14396000
1774756800,66912.00000000,66936.60000000,66556.78000000,66671.00000000,1351.87148000
1774771200,66671.00000000,66988.01000000,66418.00000000,66816.28000000,1084.63055000
1774785600,66816.29000000,66875.24000000,66334.37000000,66523.00000000,1436.58796000
1774800000,66523.01000000,66665.05000000,66158.26000000,66348.62000000,994.82320000
1774814400,66348.61000000,66793.83000000,65000.00000000,66010.93000000,3649.79869000
1774828800,66010.93000000,67450.00000000,65800.59000000,67173.80000000,3701.61439000
1774843200,67173.80000000,67800.00000000,67167.92000000,67624.39000000,2742.98319000
1774857600,67624.39000000,68042.30000000,67360.41000000,67680.45000000,3383.09323000
1774872000,67680.44000000,68169.65000000,67088.73000000,67629.40000000,4177.92296000
