ts,open,high,low,close,volume
1774224000,0.09015000,0.09149000,0.08978000,0.09064000,72358979.00000000
1774238400,0.09065000,0.09125000,0.08977000,0.09045000,69218429.00000000
1774252800,0.09046000,0.09535000,0.08925000,0.09254000,419916845.00000000
1774267200,0.09255000,0.09577000,0.09189000,0.09380000,254756824.00000000
1774281600,0.09379000,0.09578000,0.09308000,0.09489000,124606700.00000000
1774296000,0.09489000,0.09550000,0.09353000,0.09415000,80534876.00000000
1774310400,0.09416000,0.09439000,0.09270000,0.09378000,73298596.00000000
1774324800,0.09377000,0.09543000,0.09318000,0.09524000,76906626.00000000
1774339200,0.09525000,0.09562000,0.09360000,0.09425000,128592517.00000000
1774353600,0.09425000,0.09466000,0.09266000,0.09337000,147098966.00000000
1774368000,0.09337000,0.09378000,0.09245000,0.09312000,75084287.00000000
1774382400,0.09312000,0.09543000,0.09305000,0.09510000,101475253.00000000
1774396800,0.09511000,0.09549000,0.09441000,0.09522000,96348759.00000000
1774411200,0.09521000,0.09770000,0.09500000,0.09680000,262841369.00000000
1774425600,0.09681000,0.09750000,0.09644000,0.09699000,111107755.00000000
1774440000,0.09699000,0.09796000,0.09558000,0.09596000,207240846.00000000
1774454400,0.09597000,0.09710000,0.09582000,0.09644000,76431481.00000000
1774468800,0.09644000,0.09680000,0.09574000,0.09618000,47611487.00000000
1774483200,0.09618000,0.09627000,0.09410000,0.09459000,119444121.00000000
1774497600,0.09459000,0.09461000,0.09226000,0.09275000,133067838.00000000
1774512000,0.09275000,0.09276000,0.09113000,0.09133000,227549673.00000000
1774526400,0.09133000,0.09220000,0.09056000,0.09096000,161372798.00000000
1774540800,0.09097000,0.09156000,0.09059000,0.09110000,105453214.00000000
1774555200,0.09111000,0.09276000,0.09096000,0.09205000,100725627.00000000
1774569600,0.09205000,0.09271000,0.09178000,0.09195000,41645629.00000000
1774584000,0.09196000,0.09235000,0.09138000,0.09222000,50703257.00000000
1774598400,0.09223000,0.09241000,0.08930000,0.09013000,182752442.00000000
1774612800,0.09012000,0.09093000,0.08932000,0.09036000,146423923.00000000
1774627200,0.09035000,0.09053000,0.08947000,0.09007000,69100978.00000000
1774641600,0.09007000,0.09032000,0.08965000,0.09011000,43685473.00000000
1774656000,0.09010000,0.09067000,0.08982000,0.08989000,42351481.00000000
1774670400,0.08990000,0.09129000,0.08969000,0.09120000,38388203.00000000
1774684800,0.09120000,0.09216000,0.09081000,0.09137000,77466362.00000000
1774699200,0.09136000,0.09533000,0.09115000,0.09405000,284386796.00000000
1774713600,0.09406000,0.09430000,0.09197000,0.09226000,135249105.00000000
1774728000,0.09227000,0.09246000,0.09040000,0.09100000,84761876.00000000
1774742400,0.09099000,0.09169000,0.09056000,0.09145000,59256231.00000000
1774756800,0.09144000,0.09147000,0.09070000,0.09118000,47004111.00000000
1774771200,0.09118000,0.09137000,0.09038000,0.09098000,39744987.00000000
1774785600,0.09097000,0.09098000,0.09001000,0.09018000,70532879.00000000
1774800000,0.09017000,0.09083000,0.08990000,0.09064000,48962061.00000000
1774814400,0.09064000,0.09157000,0.08800000,0.09045000,166789495.00000000
1774828800,0.09046000,0.09289000,0.09026000,0.09245000,131072948.00000000
1774843200,0.09246000,0.09366000,0.09246000,0.09334000,225061409.00000000
