ts,open,high,low,close,volume
1778821200,0.00000405,0.00000407,0.00000397,0.00000399,1893998760464.00
1778824800,0.00000399,0.00000404,0.00000398,0.00000402,388024519537.00
1778828400,0.00000403,0.00000407,0.00000402,0.00000405,321410017485.00
1778832000,0.00000404,0.00000405,0.00000401,0.00000402,198430861484.00
1778835600,0.00000402,0.00000404,0.00000401,0.00000402,216388870232.00
1778839200,0.00000402,0.00000406,0.00000401,0.00000404,205232292122.00
1778842800,0.00000405,0.00000405,0.00000402,0.00000403,101987738536.00
1778846400,0.00000402,0.00000403,0.00000399,0.00000400,332847016102.00
1778850000,0.00000400,0.00000400,0.00000383,0.00000385,1419760580161.00
1778853600,0.00000385,0.00000390,0.00000382,0.00000388,655871352619.00
1778857200,0.00000387,0.00000388,0.00000384,0.00000387,476075598481.00
1778860800,0.00000386,0.00000393,0.00000386,0.00000392,432698939014.00
1778864400,0.00000392,0.00000395,0.00000391,0.00000394,183076469806.00
1778868000,0.00000394,0.00000395,0.00000391,0.00000393,191106311538.00
1778871600,0.00000393,0.00000394,0.00000390,0.00000392,180984091192.00
1778875200,0.00000392,0.00000392,0.00000389,0.00000390,212185499324.00
1778878800,0.00000389,0.00000391,0.00000388,0.00000388,83398460221.00
1778882400,0.00000389,0.00000391,0.00000388,0.00000391,159198325675.00
1778886000,0.00000391,0.00000391,0.00000389,0.00000391,141864494578.00
1778889600,0.00000390,0.00000392,0.00000389,0.00000391,141639322641.00
1778893200,0.00000391,0.00000392,0.00000388,0.00000390,124108606347.00
1778896800,0.00000391,0.00000391,0.00000389,0.00000389,196447255620.00
1778900400,0.00000389,0.00000390,0.00000388,0.00000390,134160219522.00
1778904000,0.00000389,0.00000390,0.00000382,0.00000386,265415528074.00
1778907600,0.00000387,0.00000387,0.00000384,0.00000385,168572152867.00
1778911200,0.00000385,0.00000386,0.00000379,0.00000381,450659941130.00
1778914800,0.00000382,0.00000382,0.00000373,0.00000379,605532692729.00
1778918400,0.00000379,0.00000380,0.00000377,0.00000377,160439312154.00
1778922000,0.00000377,0.00000378,0.00000372,0.00000374,664467831863.00
1778925600,0.00000373,0.00000374,0.00000369,0.00000373,462837674517.00
1778929200,0.00000373,0.00000375,0.00000372,0.00000375,172177567345.00
1778932800,0.00000375,0.00000375,0.00000373,0.00000374,235138314923.00
1778936400,0.00000374,0.00000375,0.00000372,0.00000374,151652148011.00
