ts,open,high,low,close,volume
1749945600,0.83300000,0.86700000,0.82500000,0.85100000,27153818.36000000
1750032000,0.85100000,0.90500000,0.83100000,0.83500000,68705836.75000000
1750118400,0.83400000,0.86600000,0.74900000,0.77000000,81869820.68000000
1750204800,0.77000000,0.80500000,0.73400000,0.79100000,55271512.78000000
1750291200,0.79200000,0.81400000,0.77300000,0.79300000,38870158.11000000
1750377600,0.79400000,0.82000000,0.73500000,0.76100000,46431831.77000000
1750464000,0.76100000,0.78100000,0.67400000,0.69900000,46217939.85000000
1750550400,0.70000000,0.71600000,0.63500000,0.68800000,71375861.54000000
1750636800,0.68900000,0.84600000,0.67500000,0.83000000,102162594.89000000
1750723200,0.83000000,0.88400000,0.82400000,0.87000000,75688242.57000000
1750809600,0.86900000,0.89500000,0.78500000,0.79500000,58720229.21000000
1750896000,0.79500000,0.82600000,0.74900000,0.75500000,55563206.58000000
1750982400,0.75500000,0.82500000,0.74800000,0.77300000,45848847.18000000
1751068800,0.77300000,0.84700000,0.77000000,0.83000000,38137465.19000000
1751155200,0.83100000,0.90700000,0.80800000,0.87000000,54131232.87000000
1751241600,0.87100000,0.90500000,0.83000000,0.86700000,61544530.43000000
1751328000,0.86700000,0.87000000,0.77900000,0.78300000,47413673.88000000
1751414400,0.78400000,0.93400000,0.77800000,0.90900000,96126612.00000000
1751500800,0.90900000,0.95600000,0.87300000,0.92300000,103105372.27000000
1751587200,0.92300000,0.94000000,0.82100000,0.84500000,52230065.17000000
1751673600,0.84600000,0.86500000,0.81300000,0.84600000,52083381.25000000
1751760000,0.84600000,0.90700000,0.83200000,0.87800000,59870131.53000000
1751846400,0.87800000,0.90500000,0.82400000,0.84200000,51657230.56000000
1751932800,0.84200000,0.87000000,0.82500000,0.84800000,38134889.28000000
1752019200,0.84800000,0.96500000,0.83600000,0.96000000,73812180.86000000
1752105600,0.96000000,1.06800000,0.94300000,1.05000000,106234536.14000000
1752192000,1.05000000,1.07400000,0.91900000,0.96000000,117714961.85000000
1752278400,0.95900000,0.99000000,0.90800000,0.95500000,53831208.16000000
1752364800,0.95500000,1.03700000,0.94900000,0.99500000,51591970.13000000
1752451200,0.99600000,1.09800000,0.99000000,1.01200000,85100494.99000000
1752537600,1.01200000,1.07500000,0.96100000,1.07400000,96800352.22000000
1752624000,1.07500000,1.13800000,1.03500000,1.08200000,95843237.38000000
1752710400,1.08200000,1.11900000,1.01600000,1.06600000,87600957.24000000
1752796800,1.06700000,1.13900000,0.97300000,1.01100000,123446368.70000000
1752883200,1.01200000,1.08900000,0.98400000,1.07700000,53219209.82000000
1752969600,1.07700000,1.29900000,1.06700000,1.21200000,133922756.74000000
1753056000,1.21300000,1.32500000,1.17800000,1.23900000,111811539.95000000
1753142400,1.24000000,1.31500000,1.14800000,1.27200000,123511558.18000000
1753228800,1.27200000,1.31000000,1.08700000,1.16400000,122641025.50000000
1753315200,1.16500000,1.18600000,1.01800000,1.03100000,93243371.14000000
1753401600,1.03100000,1.07700000,0.99100000,1.07300000,61342502.96000000
1753488000,1.07300000,1.10000000,1.05700000,1.06100000,33831302.00000000
1753574400,1.06100000,1.14400000,1.05600000,1.12400000,51823934.46000000
1753660800,1.12400000,1.18200000,1.02000000,1.02900000,68747131.68000000
1753747200,1.02900000,1.08100000,0.96000000,0.98500000,48103882.68000000
1753833600,0.98500000,0.99500000,0.91000000,0.96700000,55389749.00000000
1753920000,0.96700000,1.01100000,0.91300000,0.91900000,37610469.34000000
1754006400,0.91800000,0.92300000,0.84500000,0.87800000,65127608.93000000
1754092800,0.87700000,0.89600000,0.81900000,0.85400000,51184701.96000000
1754179200,0.85300000,0.90600000,0.84100000,0.89800000,19444382.50000000
1754265600,0.89800000,0.93800000,0.89700000,0.92600000,29538748.61000000
1754352000,0.92600000,0.93000000,0.85000000,0.87200000,30317090.77000000
1754438400,0.87300000,0.91600000,0.84700000,0.90400000,21197667.20000000
1754524800,0.90300000,0.95600000,0.89300000,0.95400000,37347277.11000000
1754611200,0.95400000,0.98600000,0.92900000,0.97500000,38607037.98000000
1754697600,0.97600000,1.03400000,0.96400000,1.00900000,38007399.50000000
1754784000,1.00900000,1.03900000,0.96100000,1.00700000,47893921.04000000
1754870400,1.00800000,1.03800000,0.90100000,0.91100000,54776203.52000000
1754956800,0.91100000,1.00300000,0.88500000,0.98900000,52284158.85000000
1755043200,0.98900000,1.06000000,0.98600000,1.03200000,74951208.95000000
1755129600,1.03300000,1.06900000,0.89500000,0.91800000,93559948.41000000
1755216000,0.91900000,0.94700000,0.84700000,0.87500000,61976467.71000000
1755302400,0.87400000,0.88900000,0.86200000,0.88500000,19362653.91000000
1755388800,0.88600000,0.96200000,0.87500000,0.91300000,29244601.03000000
1755475200,0.91300000,0.91500000,0.85000000,0.86800000,36872099.30000000
1755561600,0.86900000,0.88600000,0.81300000,0.82700000,35559381.06000000
1755648000,0.82600000,0.87700000,0.81000000,0.87200000,34069073.59000000
1755734400,0.87200000,0.88600000,0.83200000,0.85000000,20586634.02000000
1755820800,0.85100000,0.93600000,0.79200000,0.93300000,76995263.97000000
1755907200,0.93400000,0.93700000,0.79500000,0.90600000,43011914.53000000
1755993600,0.90600000,0.92200000,0.84700000,0.86600000,59866325.71000000
1756080000,0.86600000,0.89500000,0.75600000,0.77700000,62028633.45000000
1756166400,0.77800000,0.81800000,0.76700000,0.81200000,35851949.77000000
1756252800,0.81200000,0.84100000,0.80400000,0.81700000,41078575.46000000
1756339200,0.81700000,0.85400000,0.81100000,0.85200000,24324345.25000000
1756425600,0.85200000,0.85600000,0.77300000,0.79400000,49495476.21000000
1756512000,0.79400000,0.81700000,0.77900000,0.80700000,14784325.51000000
1756598400,0.80700000,0.81700000,0.78300000,0.78300000,12835959.58000000
1756684800,0.78400000,0.80800000,0.73000000,0.76100000,37259212.07000000
1756771200,0.76100000,0.82200000,0.75000000,0.81900000,32501222.90000000
1756857600,0.82000000,0.82600000,0.79300000,0.81700000,20335891.61000000
1756944000,0.81700000,0.82600000,0.77200000,0.78400000,19221495.94000000
1757030400,0.78300000,0.83000000,0.78300000,0.81900000,35490555.62000000
