ts,open,high,low,close,volume
1749945600,2.13930000,2.17590000,2.13750000,2.16550000,46595619.50000000
1750032000,2.16550000,2.33700000,2.15120000,2.23800000,180775839.00000000
1750118400,2.23790000,2.25720000,2.14170000,2.15900000,145998030.00000000
1750204800,2.15910000,2.18080000,2.11810000,2.17050000,95962168.00000000
1750291200,2.17040000,2.18550000,2.14410000,2.16480000,56149358.10000000
1750377600,2.16470000,2.17970000,2.08520000,2.11940000,97632569.90000000
1750464000,2.11950000,2.14500000,2.00000000,2.06320000,88671293.20000000
1750550400,2.06320000,2.08980000,1.90830000,2.01720000,206511372.50000000
1750636800,2.01730000,2.17060000,1.96150000,2.15840000,175076963.60000000
1750723200,2.15840000,2.21650000,2.13160000,2.18980000,131247333.70000000
1750809600,2.18970000,2.22960000,2.16960000,2.18590000,91578502.00000000
1750896000,2.18580000,2.21270000,2.09560000,2.10540000,120378866.10000000
1750982400,2.10530000,2.15560000,2.06710000,2.14190000,120577000.30000000
1751068800,2.14200000,2.20790000,2.13360000,2.18540000,70042779.00000000
1751155200,2.18550000,2.21980000,2.17540000,2.20610000,46097897.50000000
1751241600,2.20620000,2.32710000,2.16500000,2.23620000,151525906.20000000
1751328000,2.23620000,2.25370000,2.14750000,2.17200000,123558690.10000000
1751414400,2.17190000,2.29170000,2.15700000,2.23360000,149340795.40000000
1751500800,2.23350000,2.31350000,2.22430000,2.25690000,148388595.00000000
1751587200,2.25690000,2.26780000,2.19600000,2.22050000,72289199.10000000
1751673600,2.22050000,2.23390000,2.20140000,2.21780000,34058390.30000000
1751760000,2.21770000,2.29000000,2.20860000,2.27090000,92108127.50000000
1751846400,2.27090000,2.35370000,2.25520000,2.27080000,176317450.70000000
1751932800,2.27070000,2.32230000,2.24850000,2.31080000,106456008.60000000
1752019200,2.31090000,2.42880000,2.29750000,2.40380000,181518399.80000000
1752105600,2.40380000,2.56780000,2.39310000,2.54710000,209526484.80000000
1752192000,2.54710000,2.97500000,2.51190000,2.73220000,615361834.00000000
1752278400,2.73230000,2.84790000,2.66290000,2.73950000,341517152.00000000
1752364800,2.73950000,2.89490000,2.72320000,2.83610000,260642506.50000000
1752451200,2.83610000,3.03500000,2.82070000,2.95820000,442537809.20000000
1752537600,2.95820000,2.95820000,2.80380000,2.91900000,303965280.70000000
1752624000,2.91890000,3.10000000,2.87740000,3.03800000,272284618.20000000
1752710400,3.03800000,3.54950000,2.98730000,3.48140000,648338845.19000000
1752796800,3.48130000,3.66070000,3.34390000,3.41350000,608722890.71000000
1752883200,3.41360000,3.48550000,3.35470000,3.42440000,204901034.50000000
1752969600,3.42430000,3.55790000,3.38560000,3.45400000,281874484.30000000
1753056000,3.45410000,3.64950000,3.40760000,3.54950000,259730581.60000000
1753142400,3.54940000,3.57870000,3.42180000,3.55040000,248664612.70000000
1753228800,3.55040000,3.55190000,3.02000000,3.18380000,444396661.30000000
1753315200,3.18390000,3.26510000,2.95550000,3.14530000,366456463.40000000
1753401600,3.14540000,3.16180000,2.99810000,3.14230000,234280821.90000000
1753488000,3.14220000,3.21810000,3.10880000,3.16620000,96831223.50000000
1753574400,3.16620000,3.25150000,3.15640000,3.23890000,130449208.10000000
1753660800,3.23900000,3.33080000,3.10730000,3.12350000,221823612.30000000
1753747200,3.12350000,3.18560000,3.05330000,3.12800000,157430969.90000000
1753833600,3.12810000,3.16210000,3.00100000,3.09660000,173643335.40000000
1753920000,3.09670000,3.17840000,3.01080000,3.02240000,135512300.30000000
1754006400,3.02230000,3.05900000,2.89200000,2.96130000,260984696.40000000
1754092800,2.96140000,3.02060000,2.73870000,2.76950000,180733656.70000000
1754179200,2.76950000,2.96250000,2.72800000,2.94800000,149417377.80000000
1754265600,2.94810000,3.08990000,2.93120000,3.07160000,164651624.40000000
1754352000,3.07150000,3.10720000,2.91640000,2.96230000,144253297.70000000
1754438400,2.96220000,3.01870000,2.90140000,2.99080000,114399575.60000000
1754524800,2.99080000,3.33380000,2.96410000,3.31970000,212195633.10000000
1754611200,3.31960000,3.38250000,3.20510000,3.28590000,273926156.00000000
1754697600,3.28580000,3.34750000,3.20830000,3.22590000,130645790.70000000
1754784000,3.22590000,3.27950000,3.15210000,3.18700000,123144721.10000000
1754870400,3.18690000,3.33420000,3.11760000,3.12950000,223589776.80000000
1754956800,3.12950000,3.30670000,3.10410000,3.26760000,154532178.90000000
