ts,open,high,low,close,volume
1774224000,1.38490000,1.39300000,1.37420000,1.38140000,12974816.30000000
1774238400,1.38140000,1.39810000,1.36260000,1.37280000,23245007.50000000
1774252800,1.37290000,1.44490000,1.36180000,1.41150000,57140903.50000000
1774267200,1.41150000,1.46610000,1.40190000,1.43140000,48558867.80000000
1774281600,1.43130000,1.44650000,1.42680000,1.43460000,20228395.70000000
1774296000,1.43460000,1.44010000,1.42330000,1.43230000,7917268.50000000
1774310400,1.43230000,1.43500000,1.40860000,1.41440000,14991955.70000000
1774324800,1.41440000,1.43240000,1.40520000,1.43130000,15115886.30000000
1774339200,1.43120000,1.43330000,1.41330000,1.42330000,17878221.40000000
1774353600,1.42330000,1.42360000,1.39540000,1.40090000,22600862.10000000
1774368000,1.40090000,1.40400000,1.38350000,1.38820000,15422687.90000000
1774382400,1.38810000,1.41830000,1.38640000,1.41600000,17370886.90000000
1774396800,1.41600000,1.42510000,1.40710000,1.41320000,14406060.50000000
1774411200,1.41320000,1.42680000,1.41130000,1.42000000,18232234.40000000
1774425600,1.42000000,1.43790000,1.41270000,1.42900000,24148221.30000000
1774440000,1.42910000,1.43220000,1.40190000,1.40750000,21776568.20000000
1774454400,1.40740000,1.42120000,1.40500000,1.41210000,11844866.70000000
1774468800,1.41220000,1.42250000,1.41010000,1.41450000,6632861.60000000
1774483200,1.41450000,1.41650000,1.39630000,1.40170000,11225467.40000000
1774497600,1.40160000,1.40560000,1.37980000,1.38560000,19026423.60000000
1774512000,1.38560000,1.38650000,1.36830000,1.37150000,20200362.10000000
1774526400,1.37150000,1.38280000,1.35270000,1.36040000,26125352.30000000
1774540800,1.36050000,1.36770000,1.33600000,1.34440000,29929935.30000000
1774555200,1.34440000,1.37040000,1.34430000,1.36090000,24334484.70000000
1774569600,1.36080000,1.37260000,1.35820000,1.36390000,16626091.80000000
1774584000,1.36390000,1.36850000,1.35600000,1.35900000,12411128.60000000
1774598400,1.35900000,1.36130000,1.32620000,1.33500000,26331746.70000000
1774612800,1.33510000,1.34590000,1.32620000,1.33600000,39122125.30000000
1774627200,1.33600000,1.33740000,1.31840000,1.32530000,15085416.70000000
1774641600,1.32530000,1.33270000,1.32040000,1.32570000,9680887.90000000
1774656000,1.32560000,1.32940000,1.31910000,1.32710000,8970473.20000000
1774670400,1.32710000,1.34210000,1.32580000,1.34110000,10739329.80000000
1774684800,1.34110000,1.34330000,1.33480000,1.34030000,7053085.10000000
1774699200,1.34030000,1.35820000,1.33610000,1.35330000,14468214.30000000
1774713600,1.35340000,1.35450000,1.34180000,1.34490000,5259177.50000000
1774728000,1.34490000,1.34800000,1.33100000,1.33330000,7226846.40000000
